group,item,plural,classification,frequency_rank,recipient_id,sent_construct,sentence
E,55,FALSE,non-alternating,55,shortIndefinite,DOsentence,Alice groaned a man a reply.
F,55,FALSE,non-alternating,55,shortIndefinite,PDsentence,Alice groaned a reply to a man.
D,57,FALSE,non-alternating,57,longIndefinite,DOsentence,Michael roared a woman who was from work an order.
C,57,FALSE,non-alternating,57,longIndefinite,PDsentence,Michael roared an order to a woman who was from work.
B,57,FALSE,non-alternating,57,shortIndefinite,DOsentence,Mary roared a woman an order.
A,57,FALSE,non-alternating,57,shortIndefinite,PDsentence,Mary roared an order to a woman.
H,59,FALSE,non-alternating,59,longIndefinite,DOsentence,Maria recounted a woman from work some information.
G,59,FALSE,non-alternating,59,longIndefinite,PDsentence,Maria recounted some information to a woman from work.
F,59,FALSE,non-alternating,59,shortIndefinite,DOsentence,Michael recounted a man some information.
E,59,FALSE,non-alternating,59,shortIndefinite,PDsentence,Michael recounted some information to a man.
A,61,FALSE,non-alternating,61,longIndefinite,DOsentence,Mary denounced a man from work a law.
B,61,FALSE,non-alternating,61,longIndefinite,PDsentence,Mary denounced a law to a man from work.
C,61,FALSE,non-alternating,61,shortIndefinite,DOsentence,Mary denounced a man a law.
D,61,FALSE,non-alternating,61,shortIndefinite,PDsentence,Mary denounced a law to a man.
E,63,FALSE,non-alternating,63,longIndefinite,DOsentence,Alice murmured a woman from work a comment.
F,63,FALSE,non-alternating,63,longIndefinite,PDsentence,Alice murmured a comment to a woman from work.
G,63,FALSE,non-alternating,63,shortIndefinite,DOsentence,Mary murmured a woman a comment.
H,63,FALSE,non-alternating,63,shortIndefinite,PDsentence,Mary murmured a comment to a woman.
B,65,FALSE,non-alternating,65,longIndefinite,DOsentence,Michael moaned a man wearing a hat a plea.
A,65,FALSE,non-alternating,65,longIndefinite,PDsentence,Michael moaned a plea to a man wearing a hat.
D,65,FALSE,non-alternating,65,shortIndefinite,DOsentence,Michael moaned a man a plea.
C,65,FALSE,non-alternating,65,shortIndefinite,PDsentence,Michael moaned a plea to a man.
F,67,TRUE,non-alternating,67,longIndefinite,DOsentence,Alice dispatched a team from work some meals.
E,67,TRUE,non-alternating,67,longIndefinite,PDsentence,Alice dispatched some meals to a team from work.
H,67,TRUE,non-alternating,67,shortIndefinite,DOsentence,Linda dispatched a team some meals.
G,67,TRUE,non-alternating,67,shortIndefinite,PDsentence,Linda dispatched some meals to a team.
C,69,FALSE,non-alternating,69,longIndefinite,DOsentence,Maria mumbled a man from work some news.
D,69,FALSE,non-alternating,69,longIndefinite,PDsentence,Maria mumbled some news to a man from work.
A,69,FALSE,non-alternating,69,shortIndefinite,DOsentence,John mumbled a man some news.
B,69,FALSE,non-alternating,69,shortIndefinite,PDsentence,John mumbled some news to a man.
G,71,TRUE,non-alternating,71,longIndefinite,DOsentence,Mary furnished a team from work some forms.
H,71,TRUE,non-alternating,71,longIndefinite,PDsentence,Mary furnished some forms to a team from work.
E,71,TRUE,non-alternating,71,shortIndefinite,DOsentence,John furnished a team some forms.
F,71,TRUE,non-alternating,71,shortIndefinite,PDsentence,John furnished some forms to a team.
D,73,FALSE,non-alternating,73,longIndefinite,DOsentence,Alice howled a woman from work a complaint.
C,73,FALSE,non-alternating,73,longIndefinite,PDsentence,Alice howled a complaint to a woman from work.
B,73,FALSE,non-alternating,73,shortIndefinite,DOsentence,Michael howled a man a complaint.
A,73,FALSE,non-alternating,73,shortIndefinite,PDsentence,Michael howled a complaint to a man.
H,75,FALSE,non-alternating,75,longIndefinite,DOsentence,Maria grumbled a man who was from work a name.
G,75,FALSE,non-alternating,75,longIndefinite,PDsentence,Maria grumbled a name to a man who was from work.
F,75,FALSE,non-alternating,75,shortIndefinite,DOsentence,Juan grumbled a man a name.
E,75,FALSE,non-alternating,75,shortIndefinite,PDsentence,Juan grumbled a name to a man.
A,77,FALSE,non-alternating,77,longIndefinite,DOsentence,Juan narrated a woman who was from work a show.
B,77,FALSE,non-alternating,77,longIndefinite,PDsentence,Juan narrated a show to a woman who was from work.
C,77,FALSE,non-alternating,77,shortIndefinite,DOsentence,Maria narrated a man a show.
D,77,FALSE,non-alternating,77,shortIndefinite,PDsentence,Maria narrated a show to a man.
E,79,FALSE,non-alternating,79,longIndefinite,DOsentence,Alice grunted a man who was from work a name.
F,79,FALSE,non-alternating,79,longIndefinite,PDsentence,Alice grunted a name to a man who was from work.
G,79,FALSE,non-alternating,79,shortIndefinite,DOsentence,Michael grunted a woman a name.
H,79,FALSE,non-alternating,79,shortIndefinite,PDsentence,Michael grunted a name to a woman.
B,81,FALSE,non-alternating,81,longIndefinite,DOsentence,Bob hollered a man from work some news.
A,81,FALSE,non-alternating,81,longIndefinite,PDsentence,Bob hollered some news to a man from work.
D,81,FALSE,non-alternating,81,shortIndefinite,DOsentence,Alice hollered a woman some news.
C,81,FALSE,non-alternating,81,shortIndefinite,PDsentence,Alice hollered some news to a woman.
F,83,FALSE,non-alternating,83,longIndefinite,DOsentence,Bob squealed a woman from work an answer.
E,83,FALSE,non-alternating,83,longIndefinite,PDsentence,Bob squealed an answer to a woman from work.
H,83,FALSE,non-alternating,83,shortIndefinite,DOsentence,Mary squealed a woman an answer.
G,83,FALSE,non-alternating,83,shortIndefinite,PDsentence,Mary squealed an answer to a woman.
C,85,FALSE,non-alternating,85,longIndefinite,DOsentence,Linda delegated a woman who was from work a task.
D,85,FALSE,non-alternating,85,longIndefinite,PDsentence,Linda delegated a task to a woman who was from work.
A,85,FALSE,non-alternating,85,shortIndefinite,DOsentence,Alice delegated a man a task.
B,85,FALSE,non-alternating,85,shortIndefinite,PDsentence,Alice delegated a task to a man.
G,87,FALSE,non-alternating,87,longIndefinite,DOsentence,Mary screeched a woman wearing a hat a thought.
H,87,FALSE,non-alternating,87,longIndefinite,PDsentence,Mary screeched a thought to a woman wearing a hat.
E,87,FALSE,non-alternating,87,shortIndefinite,DOsentence,Maria screeched a man a thought.
F,87,FALSE,non-alternating,87,shortIndefinite,PDsentence,Maria screeched a thought to a man.
D,89,FALSE,non-alternating,89,longIndefinite,DOsentence,Juan bellowed a man who was from work an order.
C,89,FALSE,non-alternating,89,longIndefinite,PDsentence,Juan bellowed an order to a man who was from work.
B,89,FALSE,non-alternating,89,shortIndefinite,DOsentence,Mary bellowed a man an order.
A,89,FALSE,non-alternating,89,shortIndefinite,PDsentence,Mary bellowed an order to a man.
H,91,FALSE,non-alternating,91,longIndefinite,DOsentence,John cackled a woman wearing a hat some noises.
G,91,FALSE,non-alternating,91,longIndefinite,PDsentence,John cackled some noises to a woman wearing a hat.
F,91,FALSE,non-alternating,91,shortIndefinite,DOsentence,John cackled a man some noises.
E,91,FALSE,non-alternating,91,shortIndefinite,PDsentence,John cackled some noises to a man.
A,93,FALSE,non-alternating,93,longIndefinite,DOsentence,Mary croaked a man wearing a hat a request.
B,93,FALSE,non-alternating,93,longIndefinite,PDsentence,Mary croaked a request to a man wearing a hat.
C,93,FALSE,non-alternating,93,shortIndefinite,DOsentence,Bob croaked a woman a request.
D,93,FALSE,non-alternating,93,shortIndefinite,PDsentence,Bob croaked a request to a woman.
E,95,FALSE,non-alternating,95,longIndefinite,DOsentence,Bob stammered a woman wearing a hat a thought.
F,95,FALSE,non-alternating,95,longIndefinite,PDsentence,Bob stammered a thought to a woman wearing a hat.
G,95,FALSE,non-alternating,95,shortIndefinite,DOsentence,John stammered a woman a thought.
H,95,FALSE,non-alternating,95,shortIndefinite,PDsentence,John stammered a thought to a woman.
B,97,FALSE,non-alternating,97,longIndefinite,DOsentence,Linda remitted a woman who was from work a percentage.
A,97,FALSE,non-alternating,97,longIndefinite,PDsentence,Linda remitted a percentage to a woman who was from work.
D,97,FALSE,non-alternating,97,shortIndefinite,DOsentence,Maria remitted a man a percentage.
C,97,FALSE,non-alternating,97,shortIndefinite,PDsentence,Maria remitted a percentage to a man.
F,99,FALSE,non-alternating,99,longIndefinite,DOsentence,John warbled a man from work a greeting.
E,99,FALSE,non-alternating,99,longIndefinite,PDsentence,John warbled a greeting to a man from work.
H,99,FALSE,non-alternating,99,shortIndefinite,DOsentence,John warbled a woman a greeting.
G,99,FALSE,non-alternating,99,shortIndefinite,PDsentence,John warbled a greeting to a woman.
